country,total_cases,total_deaths,total_recovered,active_cases,serious_cases,cases_per_million,deaths_per_million,total_tests,tests_per_million,population,obesity,median_age,median_age_male,median_age_female,gdp_per_capita,avg_temp_c,area_km,pop_p_km,asl_meters,mobility_composite,healthcare_pc
United States,16295458,302750.0,9507419.0,6485289.0,27324.0,49102.0,912.0,217190821.0,654445.0,331870384.0,36.2,39.55,38.349999999999994,40.65,67426.0,8.55,9833517.0,34.0,760.0,-25.947263612558178,10246.138671875
India,9827026,142662.0,9324328.0,360036.0,8944.0,7090.0,103.0,152697399.0,110167.0,1386049115.0,3.9,28.1,27.2,28.6,9027.0,23.65,3287240.0,415.0,621.0,,69.293098449707
Brazil,6836313,180453.0,5954745.0,701115.0,8318.0,32060.0,846.0,25700000.0,120525.0,213234186.0,22.1,32.6,31.1,32.8,17106.0,24.95,8515767.0,25.0,320.0,-30.393815185844826,928.79931640625
Russian Federation,2597711,45893.0,2059840.0,491978.0,2300.0,17797.0,314.0,81564365.0,558803.0,145962563.0,23.1,39.6,36.6,42.5,30820.0,-5.1,17125242.0,9.0,600.0,-26.1683977926946,585.873229980469
France,2351372,57567.0,175891.0,2117914.0,2884.0,35988.0,881.0,28508991.0,436329.0,65338279.0,21.6,41.4,39.6,43.1,48640.0,10.7,181989.13333333333,350.6666666666667,375.0,-48.3191475372837,4379.72705078125
Ukraine,1809455,63506.0,,,1267.0,26592.0,933.0,47141344.0,692791.0,68045517.0,24.1,40.6,37.4,43.7,10130.0,8.3,603000.0,69.0,175.0,-26.1683977926946,177.408889770508
Italy,1805873,63387.0,1052163.0,690323.0,3265.0,29888.0,1049.0,23866590.0,394999.0,60421839.0,19.9,45.5,44.4,46.5,41582.0,13.45,301308.0,200.0,538.0,-47.99451485537537,2840.13061523438
Turkey,1780673,15977.0,1154333.0,610363.0,5952.0,21013.0,189.0,20709452.0,244379.0,84743063.0,32.1,30.9,30.5,31.4,29327.0,11.1,783562.0,106.0,1132.0,-34.2871024078617,444.653686523438
Spain,1741439,47624.0,,,2100.0,37240.0,1018.0,24101272.0,515393.0,46762911.0,23.8,42.7,41.5,43.9,43007.0,13.3,505990.0,93.0,660.0,-47.45903279927779,2506.46484375
Argentina,1489328,40606.0,1324792.0,123930.0,3620.0,32819.0,895.0,4210197.0,92775.0,45380652.0,28.3,31.7,30.5,32.9,19971.0,14.8,2780400.0,16.0,595.0,-39.2865279244768,1324.603515625
Colombia,1408909,38669.0,1304299.0,65941.0,2376.0,27558.0,756.0,6968618.0,136307.0,51124342.0,22.3,30.0,29.0,31.0,16265.0,24.5,1141748.0,41.0,593.0,-38.9679506485777,459.197570800781
Germany,1298776,21820.0,942100.0,334856.0,4432.0,15479.0,260.0,30494036.0,363440.0,83903978.0,22.3,47.1,46.0,48.2,55306.0,8.5,357168.0,233.0,263.0,-27.59793432263689,5033.4521484375
